Campo	Medida	Mín.	Máx.	Media	Desv. estándar	Sesgo	Exclusivo	Válido
id	Continuo	1	568577	163559.392	110582.441	0.982	--	123304
V1	Continuo	-3.219	2.226	0.429	0.870	0.035	--	123304
V2	Continuo	-42.460	4.342	-0.420	0.777	-8.766	--	123304
V3	Continuo	-2.631	4.615	0.582	0.790	0.178	--	123304
V4	Continuo	-4.834	3.202	-0.629	0.773	0.039	--	123304
V5	Continuo	-5.183	33.318	0.292	0.720	6.265	--	123304
V6	Continuo	-15.512	9.704	0.373	0.784	-0.074	--	123304
V7	Continuo	-4.325	41.880	0.420	0.650	11.925	--	123304
V8	Continuo	-10.756	5.958	-0.124	0.441	0.556	--	123304
V9	Continuo	-3.752	10.375	0.500	0.808	1.321	--	123304
V10	Continuo	-3.160	17.445	0.576	0.748	4.184	--	123304
V11	Continuo	-5.447	2.510	-0.620	0.753	0.095	--	123304
V12	Continuo	-2.018	17.914	0.656	0.722	0.013	--	123304
V13	Continuo	-5.955	4.657	0.059	1.015	0.031	--	123304
V14	Continuo	-2.105	19.170	0.687	0.690	0.543	--	123304
V15	Continuo	-3.790	8.814	0.032	1.007	0.140	--	123304
V16	Continuo	-2.207	15.105	0.490	0.662	0.181	--	123304
V17	Continuo	-2.482	5.720	0.406	0.491	-0.564	--	123304
V18	Continuo	-2.387	6.784	0.351	0.676	0.346	--	123304
V19	Continuo	-7.805	3.551	-0.209	0.755	-0.089	--	123304
V20	Continuo	-37.717	29.873	-0.151	0.831	-3.681	--	123304
V21	Continuo	-19.383	8.087	-0.094	0.466	-1.193	--	123304
V22	Continuo	-7.735	12.633	-0.011	0.726	0.342	--	123304
V23	Continuo	-30.295	31.708	-0.008	0.696	3.123	--	123304
V24	Continuo	-4.051	10.856	0.110	1.113	-0.040	--	123304
V25	Continuo	-13.613	11.558	-0.052	0.865	-0.090	--	123304
V26	Continuo	-8.227	5.556	-0.055	1.071	0.057	--	123304
V27	Continuo	-6.061	26.944	-0.182	0.571	4.336	--	123304
V28	Continuo	-24.176	37.268	-0.090	0.784	2.117	--	123304
Amount	Continuo	50.380	24039.930	12029.086	6925.967	0.005	--	123304
Class	Marca	0	1	--	--	--	2	123304

Campo	Medida	Valores atípicos	Extremos	Acción	Imputar perdidos	Método	% Completo	Registros válidos	Valor nulo	Cadena vacía	Espacio en blanco	Valor en blanco
id	Continuo	2345	0	Ninguno	Nunca	Fijo	100,000	123304	0	0	0	0
V1	Continuo	454	0	Ninguno	Nunca	Fijo	100,000	123304	0	0	0	0
V2	Continuo	1426	474	Ninguno	Nunca	Fijo	100,000	123304	0	0	0	0
V3	Continuo	1561	1	Ninguno	Nunca	Fijo	100,000	123304	0	0	0	0
V4	Continuo	1375	3	Ninguno	Nunca	Fijo	100,000	123304	0	0	0	0
V5	Continuo	1600	290	Ninguno	Nunca	Fijo	100,000	123304	0	0	0	0
V6	Continuo	1534	128	Ninguno	Nunca	Fijo	100,000	123304	0	0	0	0
V7	Continuo	1767	417	Ninguno	Nunca	Fijo	100,000	123304	0	0	0	0
V8	Continuo	996	888	Ninguno	Nunca	Fijo	100,000	123304	0	0	0	0
V9	Continuo	1455	396	Ninguno	Nunca	Fijo	100,000	123304	0	0	0	0
V10	Continuo	1981	565	Ninguno	Nunca	Fijo	100,000	123304	0	0	0	0
V11	Continuo	1141	12	Ninguno	Nunca	Fijo	100,000	123304	0	0	0	0
V12	Continuo	1667	88	Ninguno	Nunca	Fijo	100,000	123304	0	0	0	0
V13	Continuo	474	1	Ninguno	Nunca	Fijo	100,000	123304	0	0	0	0
V14	Continuo	2144	172	Ninguno	Nunca	Fijo	100,000	123304	0	0	0	0
V15	Continuo	386	12	Ninguno	Nunca	Fijo	100,000	123304	0	0	0	0
V16	Continuo	1904	77	Ninguno	Nunca	Fijo	100,000	123304	0	0	0	0
V17	Continuo	3016	789	Ninguno	Nunca	Fijo	100,000	123304	0	0	0	0
V18	Continuo	2088	55	Ninguno	Nunca	Fijo	100,000	123304	0	0	0	0
V19	Continuo	1522	13	Ninguno	Nunca	Fijo	100,000	123304	0	0	0	0
V20	Continuo	1402	590	Ninguno	Nunca	Fijo	100,000	123304	0	0	0	0
V21	Continuo	586	638	Ninguno	Nunca	Fijo	100,000	123304	0	0	0	0
V22	Continuo	351	316	Ninguno	Nunca	Fijo	100,000	123304	0	0	0	0
V23	Continuo	858	706	Ninguno	Nunca	Fijo	100,000	123304	0	0	0	0
V24	Continuo	93	41	Ninguno	Nunca	Fijo	100,000	123304	0	0	0	0
V25	Continuo	1345	80	Ninguno	Nunca	Fijo	100,000	123304	0	0	0	0
V26	Continuo	508	4	Ninguno	Nunca	Fijo	100,000	123304	0	0	0	0
V27	Continuo	1993	933	Ninguno	Nunca	Fijo	100,000	123304	0	0	0	0
V28	Continuo	1425	537	Ninguno	Nunca	Fijo	100,000	123304	0	0	0	0
Amount	Continuo	0	0	Ninguno	Nunca	Fijo	100,000	123304	0	0	0	0
Class	Marca	--	--	--	Nunca	Fijo	100,000	123304	0	0	0	0
